x,y,H,map,gp
401.45,750.0,NA,3seb,0
401.075,749.6,NA,3seb,0
400.8,749.45,NA,3seb,0
398.775,749.675,NA,3seb,0
396.825,749.25,NA,3seb,0
396.575,749.275,NA,3seb,0
396.425,749.45,NA,3seb,0
396.1,750.0,NA,3seb,0
29.375,750.0,NA,3seb,1
29.6,749.4,NA,3seb,1
29.875,749.025,NA,3seb,1
30.05,748.925,NA,3seb,1
30.2,748.95,NA,3seb,1
30.525,749.1,NA,3seb,1
31.025,749.625,NA,3seb,1
31.675,750.0,NA,3seb,1
202.2,750.0,NA,3seb,2
201.875,749.8,NA,3seb,2
200.9,749.4,NA,3seb,2
199.7,749.025,NA,3seb,2
199.025,748.925,NA,3seb,2
198.5,748.925,NA,3seb,2
198.075,749.0,NA,3seb,2
197.75,749.15,NA,3seb,2
197.525,749.375,NA,3seb,2
197.375,749.65,NA,3seb,2
197.25,750.0,NA,3seb,2
34.825,750.0,NA,3seb,3
35.375,749.75,NA,3seb,3
36.325,749.075,NA,3seb,3
36.725,748.9,NA,3seb,3
37.125,748.825,NA,3seb,3
37.575,748.9,NA,3seb,3
39.075,749.9,NA,3seb,3
39.3,750.0,NA,3seb,3
603.7,750.0,NA,3seb,4
603.1,748.7,NA,3seb,4
602.875,748.425,NA,3seb,4
602.55,748.3,NA,3seb,4
602.375,748.425,NA,3seb,4
602.2,748.675,NA,3seb,4
601.85,750.0,NA,3seb,4
321.7,750.0,NA,3seb,5
321.875,749.725,NA,3seb,5
322.4,749.2,NA,3seb,5
322.9,748.825,NA,3seb,5
324.3,747.55,NA,3seb,5
324.6,747.4,NA,3seb,5
324.925,747.4,NA,3seb,5
325.3,747.475,NA,3seb,5
325.55,747.625,NA,3seb,5
325.775,747.9,NA,3seb,5
325.95,748.275,NA,3seb,5
326.1,748.7,NA,3seb,5
326.15,749.075,NA,3seb,5
326.1,750.0,NA,3seb,5
619.525,750.0,NA,3seb,6
618.775,749.05,NA,3seb,6
618.05,747.875,NA,3seb,6
617.35,747.15,NA,3seb,6
616.95,746.95,NA,3seb,6
616.625,747.2,NA,3seb,6
615.825,748.1,NA,3seb,6
615.125,749.075,NA,3seb,6
614.625,750.0,NA,3seb,6
0.7,750.0,NA,3seb,7
0.75,749.75,NA,3seb,7
1.55,748.2,NA,3seb,7
1.975,747.275,NA,3seb,7
2.25,747.025,NA,3seb,7
2.525,746.9,NA,3seb,7
3.575,746.75,NA,3seb,7
3.875,746.775,NA,3seb,7
4.45,746.9,NA,3seb,7
4.7,747.0,NA,3seb,7
4.975,747.2,NA,3seb,7
5.95,748.475,NA,3seb,7
6.6,749.05,NA,3seb,7
7.05,749.275,NA,3seb,7
7.85,749.525,NA,3seb,7
8.5,749.625,NA,3seb,7
9.225,749.625,NA,3seb,7
9.75,749.5,NA,3seb,7
9.9,749.525,NA,3seb,7
10.1,749.575,NA,3seb,7
10.35,750.0,NA,3seb,7
564.35,750.0,NA,3seb,8
563.175,749.175,NA,3seb,8
562.5,748.475,NA,3seb,8
561.575,747.25,NA,3seb,8
560.925,746.2,NA,3seb,8
560.1,745.15,NA,3seb,8
558.0,743.175,NA,3seb,8
556.6,742.075,NA,3seb,8
555.8,741.625,NA,3seb,8
555.0,741.525,NA,3seb,8
