x,y,H,map,gp
828693.8,842277.2,NA,2ned,2
828694.1,842276.8,NA,2ned,2
828694.6,842275.2,NA,2ned,2
828696.3,842271.9,NA,2ned,2
828696.4,842269.4,NA,2ned,2
828695.5,842265.2,NA,2ned,2
828694.2,842261.8,NA,2ned,2
828694.5,842260.3,NA,2ned,2
828695.1,842258.9,NA,2ned,2
828695.2,842258.0,NA,2ned,2
828694.1,842254.7,NA,2ned,2
828694.1,842253.7,NA,2ned,3
828694.7,842251.7,NA,2ned,3
828696.0,842248.6,NA,2ned,3
828696.5,842243.5,NA,2ned,3
828698.1,842239.9,NA,2ned,3
828698.4,842237.8,NA,2ned,3
828698.2,842237.1,NA,2ned,3
828695.8,842235.0,NA,2ned,3
828694.5,842232.5,NA,2ned,3
828694.1,842230.5,NA,2ned,3
828694.1,842228.5,NA,2ned,3
828695.5,842225.8,NA,2ned,3
828697.0,842223.9,NA,2ned,3
828698.9,842222.5,NA,2ned,3
828702.3,842220.9,NA,2ned,3
828706.5,842219.7,NA,2ned,3
828708.0,842218.8,NA,2ned,3
828709.4,842217.7,NA,2ned,3
828711.3,842216.8,NA,2ned,3
828714.9,842216.1,NA,2ned,3
828721.2,842215.9,NA,2ned,3
828727.5,842217.5,NA,2ned,3
828733.65,842217.2,NA,2ned,3
828739.8,842216.9,NA,2ned,3
828743.7,842216.3,NA,2ned,3
828747.3,842215.1,NA,2ned,3
828752.3,842212.3,NA,2ned,3
828756.6,842211.2,NA,2ned,3
828762.8,842211.2,NA,2ned,3
828770.3,842212.6,NA,2ned,3
828772.9,842213.4,NA,2ned,3
828775.4,842214.9,NA,2ned,3
828777.7,842217.8,NA,2ned,3
828780.5,842223.7,NA,2ned,3
828782.3,842225.9,NA,2ned,3
828784.6,842227.6,NA,2ned,3
828786.8,842228.4,NA,2ned,3
828788.5,842227.2,NA,2ned,3
828788.5,842224.9,NA,2ned,3
828787.5,842222.2,NA,2ned,3
828787.5,842220.5,NA,2ned,3
828788.1,842218.5,NA,2ned,3
828791.0,842213.6,NA,2ned,3
828791.8,842210.9,NA,2ned,3
828791.8,842208.2,NA,2ned,3
828790.9,842205.1,NA,2ned,3
828787.9,842199.7,NA,2ned,3
828783.5,842192.9,NA,2ned,3
828780.6,842189.8,NA,2ned,3
828775.75,842185.6000000001,NA,2ned,3
828770.9,842181.4,NA,2ned,3
828768.3,842178.7,NA,2ned,3
828764.7,842172.4,NA,2ned,3
828763.6,842169.1,NA,2ned,3
828762.4,842164.0,NA,2ned,3
828762.0,842160.8,NA,2ned,3
828762.2,842152.7,NA,2ned,3
