x,y,H,map,gp
462.825,8.975,NA,14nwa,0
464.1,8.925,NA,14nwa,0
464.3,8.9,NA,14nwa,0
464.475,8.8,NA,14nwa,0
465.45,7.925,NA,14nwa,0
466.125,7.225,NA,14nwa,0
467.4,6.125,NA,14nwa,0
468.375,5.375,NA,14nwa,0
468.775,4.95,NA,14nwa,0
469.075,4.475,NA,14nwa,0
469.45,3.775,NA,14nwa,0
469.7,3.475,NA,14nwa,0
470.475,2.675,NA,14nwa,0
471.475,1.75,NA,14nwa,0
471.975,0.0,NA,14nwa,0
206.925,9.0,NA,14nwa,1
208.225,7.95,NA,14nwa,1
208.95,7.5,NA,14nwa,1
209.6,7.175,NA,14nwa,1
211.35,6.475,NA,14nwa,1
211.925,7.85,NA,14nwa,1
212.1,7.95,NA,14nwa,1
212.4,7.975,NA,14nwa,1
212.675,8.125,NA,14nwa,1
212.975,8.425,NA,14nwa,1
213.225,8.9,NA,14nwa,1
213.475,9.6,NA,14nwa,1
214.375,11.3,NA,14nwa,1
214.65,11.65,NA,14nwa,1
214.925,12.225,NA,14nwa,1
215.0,12.525,NA,14nwa,1
215.0,13.4,NA,14nwa,1
212.35,19.725,NA,14nwa,2
212.5,20.0,NA,14nwa,2
212.675,20.075,NA,14nwa,2
214.95,19.925,NA,14nwa,2
215.625,19.95,NA,14nwa,2
216.475,20.05,NA,14nwa,2
217.025,20.3,NA,14nwa,2
217.325,20.575,NA,14nwa,2
217.675,21.15,NA,14nwa,2
217.9,21.6,NA,14nwa,2
218.15,21.8,NA,14nwa,2
218.5,21.85,NA,14nwa,2
218.825,21.775,NA,14nwa,2
219.175,21.625,NA,14nwa,2
219.8,21.1,NA,14nwa,2
220.6,20.5,NA,14nwa,2
221.8,19.875,NA,14nwa,2
256.348,23.815,NA,14nwa,3
258.217,23.397,NA,14nwa,3
258.528,23.209,NA,14nwa,3
258.813,22.484,NA,14nwa,3
258.976,20.229,NA,14nwa,3
259.747,17.275,NA,14nwa,3
260.352,13.723,NA,14nwa,3
261.228,12.687,NA,14nwa,3
263.425,11.973,NA,14nwa,3
265.025,11.609,NA,14nwa,3
266.651,10.756,NA,14nwa,3
268.726,8.841,NA,14nwa,3
269.748,8.287,NA,14nwa,3
270.562,8.16,NA,14nwa,3
271.147,7.792,NA,14nwa,3
271.592,7.284,NA,14nwa,3
272.44,6.874,NA,14nwa,3
275.388,6.223,NA,14nwa,3
276.562,5.338,NA,14nwa,3
277.254,4.912,NA,14nwa,3
279.741,4.098,NA,14nwa,3
280.555,3.565,NA,14nwa,3
281.901,2.136,NA,14nwa,3
282.767,1.787,NA,14nwa,3
285.119,1.178,NA,14nwa,3
286.022,0.378,NA,14nwa,3
286.308,0.0,NA,14nwa,3
239.425,26.15,NA,14nwa,4
239.425,26.15,NA,14nwa,4
242.525,25.225,NA,14nwa,4
243.4,25.075,NA,14nwa,4
243.975,25.125,NA,14nwa,4
245.1,25.525,NA,14nwa,4
246.075,26.0,NA,14nwa,4
247.375,26.5,NA,14nwa,4
249.075,26.875,NA,14nwa,4
250.075,26.925,NA,14nwa,4
251.325,26.725,NA,14nwa,4
251.85,26.525,NA,14nwa,4
252.15,26.175,NA,14nwa,4
252.9,24.2,NA,14nwa,4
253.15,23.975,NA,14nwa,4
253.45,23.925,NA,14nwa,4
186.4,27.6,NA,14nwa,5
185.65,28.6,NA,14nwa,5
184.725,29.7,NA,14nwa,5
184.55,30.1,NA,14nwa,5
184.45,30.55,NA,14nwa,5
184.525,31.0,NA,14nwa,5
184.8,31.65,NA,14nwa,5
214.175,28.825,NA,14nwa,6
215.05,28.425,NA,14nwa,6
215.8,28.175,NA,14nwa,6
216.675,28.075,NA,14nwa,6
217.725,28.125,NA,14nwa,6
218.4,28.225,NA,14nwa,6
219.325,28.45,NA,14nwa,6
220.125,28.8,NA,14nwa,6
220.8,29.15,NA,14nwa,6
227.7,33.45,NA,14nwa,6
228.45,33.9,NA,14nwa,6
229.425,34.325,NA,14nwa,6
699.994,24.084,NA,14nwa,7
704.868,31.314,NA,14nwa,7
706.728,33.141,NA,14nwa,7
706.368,34.984,NA,14nwa,7
706.648,35.369,NA,14nwa,7
708.049,35.139,NA,14nwa,7
710.191,34.103,NA,14nwa,7
710.817,34.086,NA,14nwa,7
711.639,34.403,NA,14nwa,7
713.187,34.396,NA,14nwa,7
714.824,33.528,NA,14nwa,7
717.011,31.558,NA,14nwa,7
718.139,30.041,NA,14nwa,7
720.171,28.163,NA,14nwa,7
721.294,27.221,NA,14nwa,7
722.352,26.916,NA,14nwa,7
722.989,26.899,NA,14nwa,7
725.231,27.516,NA,14nwa,7
726.684,28.101,NA,14nwa,7
728.446,27.598,NA,14nwa,7
730.367,27.134,NA,14nwa,7
733.224,27.193,NA,14nwa,7
733.661,27.044,NA,14nwa,7
733.967,26.718,NA,14nwa,7
734.89,24.429,NA,14nwa,7
735.116,22.689,NA,14nwa,7
734.856,21.294,NA,14nwa,7
734.63,19.337,NA,14nwa,7
734.771,18.627,NA,14nwa,7
736.508,14.522,NA,14nwa,7
736.921,12.112,NA,14nwa,7
737.713,10.337,NA,14nwa,7
738.37,9.327,NA,14nwa,7
738.66,8.359,NA,14nwa,7
738.558,6.982,NA,14nwa,7
738.456,5.097,NA,14nwa,7
738.491,4.187,NA,14nwa,7
738.093,2.652,NA,14nwa,7
738.193,1.54,NA,14nwa,7
737.958,0.732,NA,14nwa,7
737.539,0.0,NA,14nwa,7
213.3,13.85,NA,14nwa,8
214.125,13.525,NA,14nwa,8
214.85,13.4,NA,14nwa,8
215.0,13.4,NA,14nwa,8
215.475,13.4,NA,14nwa,8
216.125,13.575,NA,14nwa,8
217.55,14.15,NA,14nwa,8
218.175,14.525,NA,14nwa,8
218.4,14.85,NA,14nwa,8
218.6,15.45,NA,14nwa,8
219.0,16.825,NA,14nwa,8
219.175,17.15,NA,14nwa,8
219.575,17.625,NA,14nwa,8
221.4,19.4,NA,14nwa,8
222.225,20.4,NA,14nwa,8
222.95,21.575,NA,14nwa,8
223.575,22.85,NA,14nwa,8
224.375,24.75,NA,14nwa,8
225.1,26.3,NA,14nwa,8
226.525,29.25,NA,14nwa,8
228.175,32.35,NA,14nwa,8
229.325,34.275,NA,14nwa,8
229.425,34.325,NA,14nwa,8
230.35,35.65,NA,14nwa,8
231.425,37.3,NA,14nwa,8
231.425,37.3,NA,14nwa,8
516.395,37.842,NA,14nwa,9
515.448,37.553,NA,14nwa,9
514.733,37.233,NA,14nwa,9
514.265,36.612,NA,14nwa,9
