x,y,H,map,gp
751.15,0.975,NA,14nwa,0
752.25,1.15,NA,14nwa,0
753.3,1.55,NA,14nwa,0
130.5,0.0,NA,14nwa,1
130.925,0.375,NA,14nwa,1
131.65,0.75,NA,14nwa,1
132.7,1.475,NA,14nwa,1
133.75,2.1,NA,14nwa,1
134.45,2.6,NA,14nwa,1
135.025,3.2,NA,14nwa,1
135.125,3.375,NA,14nwa,1
135.25,3.775,NA,14nwa,1
135.275,4.2,NA,14nwa,1
135.1,4.775,NA,14nwa,1
133.625,7.05,NA,14nwa,1
133.275,7.525,NA,14nwa,1
132.725,8.475,NA,14nwa,1
132.45,9.2,NA,14nwa,1
132.35,9.6,NA,14nwa,1
132.3,10.2,NA,14nwa,1
132.45,10.575,NA,14nwa,1
132.575,10.75,NA,14nwa,1
132.925,11.0,NA,14nwa,1
133.275,11.2,NA,14nwa,1
135.575,11.85,NA,14nwa,1
136.3,12.175,NA,14nwa,1
136.675,12.45,NA,14nwa,1
137.8,13.45,NA,14nwa,1
138.225,14.05,NA,14nwa,1
138.35,14.3,NA,14nwa,1
138.6,15.175,NA,14nwa,1
139.275,18.25,NA,14nwa,1
139.475,18.825,NA,14nwa,1
140.175,20.575,NA,14nwa,1
140.95,21.7,NA,14nwa,1
420.875,22.925,NA,14nwa,2
420.425,22.425,NA,14nwa,2
420.3,22.225,NA,14nwa,2
419.375,20.45,NA,14nwa,2
418.925,19.75,NA,14nwa,2
418.3,18.85,NA,14nwa,2
417.875,18.35,NA,14nwa,2
417.6,18.0,NA,14nwa,2
417.05,17.4,NA,14nwa,2
416.175,16.625,NA,14nwa,2
415.35,15.975,NA,14nwa,2
414.75,15.625,NA,14nwa,2
413.925,15.0,NA,14nwa,2
413.1,14.25,NA,14nwa,2
411.25,12.125,NA,14nwa,2
410.975,11.775,NA,14nwa,2
410.45,10.85,NA,14nwa,2
410.275,10.475,NA,14nwa,2
410.025,9.675,NA,14nwa,2
409.85,9.3,NA,14nwa,2
409.625,8.975,NA,14nwa,2
409.15,8.525,NA,14nwa,2
408.1,7.725,NA,14nwa,2
407.425,7.075,NA,14nwa,2
406.85,6.675,NA,14nwa,2
405.975,6.175,NA,14nwa,2
405.35,6.0,NA,14nwa,2
404.625,5.9,NA,14nwa,2
403.55,5.85,NA,14nwa,2
402.85,5.675,NA,14nwa,2
401.9,5.425,NA,14nwa,2
401.225,5.375,NA,14nwa,2
399.4,4.75,NA,14nwa,2
397.9,4.45,NA,14nwa,2
396.425,4.0,NA,14nwa,2
395.9,3.725,NA,14nwa,2
394.825,3.125,NA,14nwa,2
394.275,2.95,NA,14nwa,2
393.8,2.75,NA,14nwa,2
393.45,2.55,NA,14nwa,2
393.25,2.4,NA,14nwa,2
392.85,1.95,NA,14nwa,2
392.2,1.1,NA,14nwa,2
391.925,0.625,NA,14nwa,2
391.7,0.0,NA,14nwa,2
145.05,0.0,NA,14nwa,3
148.15,3.375,NA,14nwa,3
151.125,5.725,NA,14nwa,3
153.6,7.4,NA,14nwa,3
155.025,8.6,NA,14nwa,3
155.975,9.825,NA,14nwa,3
156.575,10.475,NA,14nwa,3
157.65,12.225,NA,14nwa,3
158.325,13.5,NA,14nwa,3
159.175,15.425,NA,14nwa,3
159.6,16.275,NA,14nwa,3
160.1,17.05,NA,14nwa,3
160.625,17.55,NA,14nwa,3
161.05,17.8,NA,14nwa,3
162.4,18.175,NA,14nwa,3
162.575,18.275,NA,14nwa,3
162.825,18.45,NA,14nwa,3
163.0,18.675,NA,14nwa,3
163.25,19.325,NA,14nwa,3
163.475,20.65,NA,14nwa,3
163.825,21.775,NA,14nwa,3
164.4,23.95,NA,14nwa,3
165.0,24.925,NA,14nwa,3
165.8,26.0,NA,14nwa,3
166.05,26.475,NA,14nwa,3
166.175,26.9,NA,14nwa,3
166.25,27.775,NA,14nwa,3
166.2,28.225,NA,14nwa,3
166.1,28.65,NA,14nwa,3
166.0,28.875,NA,14nwa,3
165.35,29.575,NA,14nwa,3
533.45,0.0,NA,14nwa,4
