x,y,H,map,gp
829087.1,842539.6,NA,2ned,0
829085.9,842539.0,NA,2ned,0
829080.0,842534.1,NA,2ned,0
829068.8,842523.9,NA,2ned,0
829066.2,842520.7,NA,2ned,0
829064.8,842518.2,NA,2ned,0
829063.5,842514.5,NA,2ned,0
829060.2,842509.8,NA,2ned,0
829054.1,842502.0,NA,2ned,0
829052.8,842499.5,NA,2ned,0
829051.6,842494.1,NA,2ned,0
829051.6,842490.9,NA,2ned,0
829051.7,842489.5,NA,2ned,0
829055.3,842477.8,NA,2ned,0
829055.2,842474.8,NA,2ned,0
829052.6,842464.4,NA,2ned,0
829051.6,842458.3,NA,2ned,0
829051.6,842448.4,NA,2ned,0
829052.9,842434.1,NA,2ned,0
829055.7,842421.7,NA,2ned,0
829057.2,842418.2,NA,2ned,0
829057.5,842415.2,NA,2ned,0
829056.5,842409.8,NA,2ned,0
829056.3,842404.9,NA,2ned,0
829055.2,842397.4,NA,2ned,0
829054.1,842393.5,NA,2ned,0
829053.2,842391.7,NA,2ned,0
829052.0,842390.7,NA,2ned,0
829049.4,842389.6,NA,2ned,0
829047.1,842389.5,NA,2ned,0
829045.8,842389.8,NA,2ned,0
829044.4,842390.8,NA,2ned,0
829043.3,842392.7,NA,2ned,0
829041.9,842397.0,NA,2ned,0
829041.2,842402.7,NA,2ned,0
829040.6,842413.6,NA,2ned,0
829040.7,842425.4,NA,2ned,0
829040.2,842429.8,NA,2ned,0
829039.2,842433.8,NA,2ned,0
829036.8,842438.8,NA,2ned,0
829035.3,842440.8,NA,2ned,0
829032.3,842445.6,NA,2ned,0
829027.9,842449.4,NA,2ned,0
829020.2,842454.3,NA,2ned,0
829017.4,842456.3,NA,2ned,0
829010.6,842464.0,NA,2ned,0
829009.9,842465.2,NA,2ned,0
829009.4,842467.8,NA,2ned,0
829009.6,842473.3,NA,2ned,0
829010.9,842480.7,NA,2ned,0
829017.5,842497.0,NA,2ned,0
829018.8,842501.4,NA,2ned,0
829021.3,842511.9,NA,2ned,0
829023.5,842517.6,NA,2ned,0
829026.9,842527.8,NA,2ned,0
829028.5,842530.9,NA,2ned,0
829031.4,842535.0,NA,2ned,0
829033.2,842536.7,NA,2ned,0
829041.1,842542.7,NA,2ned,0
829044.9,842547.8,NA,2ned,0
829052.4,842560.9,NA,2ned,0
829053.4,842562.2,NA,2ned,0
829056.8,842565.0,NA,2ned,0
829061.3,842569.4,NA,2ned,0
829063.7,842570.9,NA,2ned,0
829065.3,842571.4,NA,2ned,0
829080.7,842579.3,NA,2ned,0
829084.9,842582.2,NA,2ned,0
829088.7,842585.9,NA,2ned,0
829101.5,842600.0,NA,2ned,0
829103.9,842602.4,NA,2ned,0
829115.1,842609.4,NA,2ned,0
829121.5,842614.1,NA,2ned,0
829126.4,842616.4,NA,2ned,0
829129.5,842617.2,NA,2ned,0
829131.9,842617.3,NA,2ned,0
829135.7,842616.4,NA,2ned,0
829138.3,842615.2,NA,2ned,0
829141.5,842613.1,NA,2ned,0
829143.9,842610.6,NA,2ned,0
829145.2,842608.9,NA,2ned,0
829146.6,842605.9,NA,2ned,0
829148.3,842600.0,NA,2ned,0
829148.6,842597.7,NA,2ned,0
829148.6,842595.2,NA,2ned,0
829147.7,842587.5,NA,2ned,0
829147.5,842582.7,NA,2ned,0
829147.0,842576.4,NA,2ned,0
829146.3,842574.4,NA,2ned,0
829145.1,842572.6,NA,2ned,0
829142.7,842569.8,NA,2ned,0
829135.0,842563.4,NA,2ned,0
829119.6,842556.5,NA,2ned,0
829114.8,842554.7,NA,2ned,0
829106.3,842550.2,NA,2ned,0
829099.4,842547.3,NA,2ned,0
829088.2,842448.1,NA,2ned,1
829089.1,842448.7,NA,2ned,1
829089.2,842449.8,NA,2ned,1
829088.5,842454.9,NA,2ned,1
829088.5,842456.9,NA,2ned,1
829088.9,842459.6,NA,2ned,1
829091.2,842468.9,NA,2ned,1
829092.6,842473.3,NA,2ned,1
829094.6,842482.3,NA,2ned,1
829095.7,842484.0,NA,2ned,1
829101.0,842488.7,NA,2ned,1
829108.0,842497.7,NA,2ned,1
829114.8,842504.7,NA,2ned,1
829118.9,842508.2,NA,2ned,1
829123.7,842511.2,NA,2ned,1
829126.8,842513.4,NA,2ned,1
829129.8,842515.2,NA,2ned,1
829132.4,842515.9,NA,2ned,1
829134.0,842516.6,NA,2ned,1
829138.5,842519.9,NA,2ned,1
829143.5,842522.5,NA,2ned,1
829149.5,842524.6,NA,2ned,1
829161.5,842530.4,NA,2ned,1
829166.9,842532.1,NA,2ned,1
829174.0,842536.6,NA,2ned,1
829179.0,842541.3,NA,2ned,1
829180.1,842543.0,NA,2ned,1
829184.5,842558.6,NA,2ned,1
829187.8,842567.4,NA,2ned,1
829190.8,842574.0,NA,2ned,1
829192.9,842580.8,NA,2ned,1
829193.6,842585.0,NA,2ned,1
829193.6,842588.9,NA,2ned,1
829193.1,842593.2,NA,2ned,1
829193.2,842596.9,NA,2ned,1
829192.7,842598.5,NA,2ned,1
829190.7,842602.5,NA,2ned,1
829187.7,842609.3,NA,2ned,1
829184.9,842612.8,NA,2ned,1
829180.4,842617.4,NA,2ned,1
829171.2,842628.4,NA,2ned,1
829169.2,842631.9,NA,2ned,1
829168.2,842634.7,NA,2ned,1
829168.1,842639.0,NA,2ned,1
829169.7,842645.6,NA,2ned,1
829169.7,842649.1,NA,2ned,1
829169.2,842652.6,NA,2ned,1
829167.6,842655.2,NA,2ned,1
829166.0,842656.8,NA,2ned,1
829160.5,842659.8,NA,2ned,1
829155.5,842662.9,NA,2ned,1
829151.8,842666.2,NA,2ned,1
829149.0,842669.9,NA,2ned,1
829144.9,842675.8,NA,2ned,1
829136.3,842686.1,NA,2ned,1
829132.3,842689.3,NA,2ned,1
829128.4,842690.9,NA,2ned,1
829123.8,842692.1,NA,2ned,1
829121.6,842692.1,NA,2ned,1
829118.0,842691.2,NA,2ned,1
829115.1,842689.5,NA,2ned,1
829111.1,842686.2,NA,2ned,1
829107.0,842683.5,NA,2ned,1
829104.7,842681.2,NA,2ned,1
829098.3,842672.1,NA,2ned,1
829093.5,842663.4,NA,2ned,1
829091.0,842656.2,NA,2ned,1
829087.8,842649.4,NA,2ned,1
829083.4,842642.3,NA,2ned,1
829081.4,842640.0,NA,2ned,1
829078.4,842637.8,NA,2ned,1
829075.4,842635.3,NA,2ned,1
829069.2,842628.0,NA,2ned,1
829066.3,842625.6,NA,2ned,1
829062.8,842623.5,NA,2ned,1
829059.3,842622.3,NA,2ned,1
829057.7,842622.7,NA,2ned,1
829054.1,842625.2,NA,2ned,1
829049.2,842629.4,NA,2ned,1
829039.3,842641.1,NA,2ned,1
829036.3,842645.3,NA,2ned,1
