x,y,H,map,gp
923.375,750.0,NA,3seb,0
924.075,749.325,NA,3seb,0
924.6,749.075,NA,3seb,0
925.3,748.875,NA,3seb,0
926.075,748.825,NA,3seb,0
927.925,748.925,NA,3seb,0
928.825,748.875,NA,3seb,0
930.85,748.575,NA,3seb,0
933.75,747.95,NA,3seb,0
934.55,747.85,NA,3seb,0
935.2,747.875,NA,3seb,0
935.775,748.0,NA,3seb,0
936.3,748.2,NA,3seb,0
937.0,748.65,NA,3seb,0
937.5,748.9,NA,3seb,0
721.875,750.0,NA,3seb,1
720.075,748.575,NA,3seb,1
719.275,747.725,NA,3seb,1
718.775,747.45,NA,3seb,1
718.075,747.625,NA,3seb,1
717.475,748.075,NA,3seb,1
716.825,748.825,NA,3seb,1
716.3,750.0,NA,3seb,1
773.825,747.3,NA,3seb,2
777.1,747.975,NA,3seb,2
779.425,749.025,NA,3seb,2
781.15,750.0,NA,3seb,2
261.1,750.0,NA,3seb,3
260.4,749.35,NA,3seb,3
259.175,747.725,NA,3seb,3
258.525,747.3,NA,3seb,3
257.925,747.375,NA,3seb,3
257.025,747.975,NA,3seb,3
255.3,750.0,NA,3seb,3
794.425,747.15,NA,3seb,4
794.925,747.35,NA,3seb,4
795.425,747.65,NA,3seb,4
795.875,748.0,NA,3seb,4
796.3,748.4,NA,3seb,4
796.575,748.825,NA,3seb,4
797.125,749.825,NA,3seb,4
797.275,750.0,NA,3seb,4
827.825,745.075,NA,3seb,5
828.475,745.6,NA,3seb,5
829.425,746.975,NA,3seb,5
829.675,747.175,NA,3seb,5
827.825,745.075,NA,3seb,6
827.2,745.325,NA,3seb,6
824.125,748.1,NA,3seb,6
823.8,748.5,NA,3seb,6
823.125,750.0,NA,3seb,6
16.8,750.0,NA,3seb,7
15.775,748.6,NA,3seb,7
15.425,748.025,NA,3seb,7
15.275,747.825,NA,3seb,7
14.95,747.275,NA,3seb,7
14.575,746.75,NA,3seb,7
13.15,744.55,NA,3seb,7
12.975,744.125,NA,3seb,7
12.875,743.975,NA,3seb,7
12.7,743.825,NA,3seb,7
12.35,743.65,NA,3seb,7
10.9,743.425,NA,3seb,7
10.325,743.475,NA,3seb,7
9.95,743.625,NA,3seb,7
9.45,743.975,NA,3seb,7
8.6,744.8,NA,3seb,7
