x,y,H,map,gp
311.63,247.069,NA,3seb,0
309.799,246.766,NA,3seb,0
309.189,246.907,NA,3seb,0
309.024,247.314,NA,3seb,0
309.163,248.456,NA,3seb,0
310.436,250.245,NA,3seb,0
311.387,251.263,NA,3seb,0
312.891,253.427,NA,3seb,0
314.334,255.068,NA,3seb,0
315.565,256.068,NA,3seb,0
317.031,257.749,NA,3seb,0
318.192,259.459,NA,3seb,0
319.45,260.879,NA,3seb,0
320.251,262.248,NA,3seb,0
321.085,263.847,NA,3seb,0
322.349,266.424,NA,3seb,0
323.567,268.377,NA,3seb,0
323.838,269.16,NA,3seb,0
325.998,271.038,NA,3seb,0
328.573,272.647,NA,3seb,0
330.733,275.439,NA,3seb,0
331.917,276.794,NA,3seb,0
333.114,278.098,NA,3seb,0
334.886,279.748,NA,3seb,0
337.294,281.887,NA,3seb,0
337.673,281.961,NA,3seb,0
337.718,281.708,NA,3seb,0
337.595,279.708,NA,3seb,0
337.317,279.18,NA,3seb,0
336.301,278.224,NA,3seb,0
335.043,276.346,NA,3seb,0
333.675,274.287,NA,3seb,0
332.844,273.069,NA,3seb,0
330.634,269.309,NA,3seb,0
329.826,267.241,NA,3seb,0
328.8,264.772,NA,3seb,0
328.071,263.557,NA,3seb,0
324.653,259.764,NA,3seb,0
324.027,258.958,NA,3seb,0
322.613,257.216,NA,3seb,0
321.291,254.879,NA,3seb,0
320.846,253.977,NA,3seb,0
320.333,252.285,NA,3seb,0
317.813,249.139,NA,3seb,0
316.447,247.97,NA,3seb,0
315.867,247.802,NA,3seb,0
313.932,247.713,NA,3seb,0
311.63,247.069,NA,3seb,0
276.219,58.506,NA,3seb,1
275.692,58.861,NA,3seb,1
275.019,58.941,NA,3seb,1
274.067,59.239,NA,3seb,1
273.27,59.954,NA,3seb,1
271.886,62.478,NA,3seb,1
271.139,63.054,NA,3seb,1
270.067,62.718,NA,3seb,1
267.328,60.888,NA,3seb,1
266.332,60.336,NA,3seb,1
264.993,59.914,NA,3seb,1
263.018,59.37,NA,3seb,1
262.625,59.436,NA,3seb,1
262.233,59.833,NA,3seb,1
262.148,60.291,NA,3seb,1
262.406,60.823,NA,3seb,1
263.391,61.528,NA,3seb,1
265.501,63.012,NA,3seb,1
268.044,64.619,NA,3seb,1
270.183,66.688,NA,3seb,1
271.677,69.105,NA,3seb,1
272.158,70.537,NA,3seb,1
272.497,73.192,NA,3seb,1
272.72,74.067,NA,3seb,1
274.506,76.456,NA,3seb,1
276.058,78.224,NA,3seb,1
276.767,79.477,NA,3seb,1
277.211,80.851,NA,3seb,1
278.186,82.862,NA,3seb,1
279.367,85.1,NA,3seb,1
279.987,86.022,NA,3seb,1
281.154,86.976,NA,3seb,1
282.585,87.571,NA,3seb,1
284.658,88.834,NA,3seb,1
286.659,90.479,NA,3seb,1
288.127,92.231,NA,3seb,1
288.679,92.708,NA,3seb,1
289.431,92.878,NA,3seb,1
289.949,92.568,NA,3seb,1
290.503,92.041,NA,3seb,1
290.99,92.456,NA,3seb,1
291.807,93.922,NA,3seb,1
292.922,94.762,NA,3seb,1
294.103,95.767,NA,3seb,1
295.647,97.493,NA,3seb,1
296.756,98.943,NA,3seb,1
297.534,100.41,NA,3seb,1
298.718,104.173,NA,3seb,1
299.3,106.226,NA,3seb,1
299.768,107.264,NA,3seb,1
300.766,110.266,NA,3seb,1
301.469,110.602,NA,3seb,1
302.278,110.111,NA,3seb,1
302.788,109.025,NA,3seb,1
303.022,105.947,NA,3seb,1
303.235,103.275,NA,3seb,1
302.992,101.879,NA,3seb,1
302.149,100.388,NA,3seb,1
300.271,98.322,NA,3seb,1
300.326,97.457,NA,3seb,1
300.604,96.12,NA,3seb,1
300.367,94.152,NA,3seb,1
299.948,93.038,NA,3seb,1
299.1,90.949,NA,3seb,1
298.693,89.796,NA,3seb,1
297.437,88.805,NA,3seb,1
295.579,87.464,NA,3seb,1
293.856,86.935,NA,3seb,1
292.458,85.729,NA,3seb,1
290.923,84.867,NA,3seb,1
288.611,83.899,NA,3seb,1
287.921,83.563,NA,3seb,1
286.796,83.054,NA,3seb,1
285.217,81.879,NA,3seb,1
284.499,81.147,NA,3seb,1
283.404,79.401,NA,3seb,1
282.526,77.666,NA,3seb,1
280.596,74.656,NA,3seb,1
279.586,72.413,NA,3seb,1
278.562,69.891,NA,3seb,1
278.386,68.431,NA,3seb,1
278.496,66.231,NA,3seb,1
278.664,63.472,NA,3seb,1
278.273,61.567,NA,3seb,1
277.722,60.617,NA,3seb,1
277.121,59.998,NA,3seb,1
276.686,58.754,NA,3seb,1
276.222,58.499,NA,3seb,1
655.872,90.495,NA,3seb,2
656.603,90.396,NA,3seb,2
657.276,90.633,NA,3seb,2
657.914,90.382,NA,3seb,2
658.757,89.382,NA,3seb,2
660.656,87.243,NA,3seb,2
662.13,85.337,NA,3seb,2
662.803,84.08,NA,3seb,2
662.569,83.549,NA,3seb,2
662.034,83.463,NA,3seb,2
661.623,83.528,NA,3seb,2
661.13,83.015,NA,3seb,2
660.364,82.626,NA,3seb,2
659.465,82.666,NA,3seb,2
658.494,83.118,NA,3seb,2
657.858,82.042,NA,3seb,2
657.635,81.13,NA,3seb,2
658.549,81.059,NA,3seb,2
659.417,79.465,NA,3seb,2
661.735,78.099,NA,3seb,2
662.935,77.736,NA,3seb,2
663.973,77.801,NA,3seb,2
665.072,77.942,NA,3seb,2
665.657,77.067,NA,3seb,2
665.709,76.167,NA,3seb,2
665.375,74.844,NA,3seb,2
665.305,73.93,NA,3seb,2
665.724,71.73,NA,3seb,2
665.602,70.206,NA,3seb,2
666.609,68.854,NA,3seb,2
666.949,67.86,NA,3seb,2
666.784,66.626,NA,3seb,2
665.963,65.369,NA,3seb,2
665.833,64.608,NA,3seb,2
666.108,63.172,NA,3seb,2
666.323,61.828,NA,3seb,2
666.186,60.411,NA,3seb,2
665.642,59.395,NA,3seb,2
665.009,58.563,NA,3seb,2
665.157,58.12,NA,3seb,2
666.281,57.757,NA,3seb,2
671.711,58.098,NA,3seb,2
676.927,58.364,NA,3seb,2
677.981,58.627,NA,3seb,2
679.103,59.5,NA,3seb,2
680.661,59.85,NA,3seb,2
682.093,59.744,NA,3seb,2
682.585,60.181,NA,3seb,2
682.411,61.052,NA,3seb,2
681.086,64.039,NA,3seb,2
679.915,65.804,NA,3seb,2
679.666,66.783,NA,3seb,2
680.815,67.335,NA,3seb,2
682.522,67.332,NA,3seb,2
687.23,65.943,NA,3seb,2
688.528,64.391,NA,3seb,2
689.264,62.624,NA,3seb,2
688.822,61.004,NA,3seb,2
687.829,60.01,NA,3seb,2
686.723,60.824,NA,3seb,2
685.376,61.799,NA,3seb,2
684.221,62.146,NA,3seb,2
683.958,61.768,NA,3seb,2
683.981,61.051,NA,3seb,2
686.749,57.454,NA,3seb,2
688.086,55.997,NA,3seb,2
688.565,54.414,NA,3seb,2
687.571,53.898,NA,3seb,2
684.876,54.638,NA,3seb,2
682.678,54.386,NA,3seb,2
681.521,54.535,NA,3seb,2
680.009,55.679,NA,3seb,2
679.129,56.1,NA,3seb,2
675.423,55.879,NA,3seb,2
671.351,55.738,NA,3seb,2
667.051,55.538,NA,3seb,2
665.561,55.905,NA,3seb,2
664.289,56.772,NA,3seb,2
663.63,57.861,NA,3seb,2
663.446,59.266,NA,3seb,2
663.529,59.89,NA,3seb,2
662.335,60.908,NA,3seb,2
661.619,60.946,NA,3seb,2
660.091,60.581,NA,3seb,2
658.628,60.596,NA,3seb,2
657.597,59.646,NA,3seb,2
656.581,58.727,NA,3seb,2
655.94,58.581,NA,3seb,2
655.516,58.936,NA,3seb,2
653.911,62.932,NA,3seb,2
653.588,65.573,NA,3seb,2
653.773,67.249,NA,3seb,2
654.251,69.272,NA,3seb,2
653.856,72.356,NA,3seb,2
653.827,73.942,NA,3seb,2
654.67,75.946,NA,3seb,2
655.13,77.649,NA,3seb,2
655.469,79.49,NA,3seb,2
656.152,82.182,NA,3seb,2
655.936,83.389,NA,3seb,2
655.581,84.399,NA,3seb,2
655.722,86.258,NA,3seb,2
654.976,87.836,NA,3seb,2
652.369,90.714,NA,3seb,2
651.497,91.927,NA,3seb,2
651.495,93.178,NA,3seb,2
651.945,94.027,NA,3seb,2
652.602,94.096,NA,3seb,2
653.983,93.564,NA,3seb,2
654.982,92.867,NA,3seb,2
655.474,91.825,NA,3seb,2
655.872,90.495,NA,3seb,2
295.373,14.264,NA,3seb,3
296.213,14.295,NA,3seb,3
298.697,14.861,NA,3seb,3
299.691,15.235,NA,3seb,3
303.067,15.959,NA,3seb,3
304.935,15.894,NA,3seb,3
305.264,15.587,NA,3seb,3
305.092,14.736,NA,3seb,3
304.848,12.768,NA,3seb,3
304.368,11.653,NA,3seb,3
303.589,11.163,NA,3seb,3
301.578,10.962,NA,3seb,3
300.598,10.792,NA,3seb,3
299.233,10.217,NA,3seb,3
296.257,8.46,NA,3seb,3
293.91,7.525,NA,3seb,3
292.001,7.323,NA,3seb,3
291.086,7.47,NA,3seb,3
290.467,7.932,NA,3seb,3
290.497,8.504,NA,3seb,3
291.221,10.075,NA,3seb,3
291.711,10.91,NA,3seb,3
291.623,11.152,NA,3seb,3
289.608,11.981,NA,3seb,3
289.155,12.569,NA,3seb,3
289.072,13.345,NA,3seb,3
289.813,15.437,NA,3seb,3
289.792,16.06,NA,3seb,3
289.363,16.496,NA,3seb,3
288.035,17.383,NA,3seb,3
286.434,19.175,NA,3seb,3
283.114,23.992,NA,3seb,3
281.573,26.902,NA,3seb,3
279.772,30.717,NA,3seb,3
279.121,33.785,NA,3seb,3
278.832,35.86,NA,3seb,3
277.723,40.444,NA,3seb,3
276.118,44.982,NA,3seb,3
275.266,46.577,NA,3seb,3
274.657,48.4,NA,3seb,3
274.788,48.907,NA,3seb,3
275.236,49.272,NA,3seb,3
275.694,49.333,NA,3seb,3
276.832,48.498,NA,3seb,3
277.79,47.41,NA,3seb,3
278.492,46.133,NA,3seb,3
280.024,42.003,NA,3seb,3
280.644,39.876,NA,3seb,3
280.688,39.1,NA,3seb,3
280.077,37.325,NA,3seb,3
280.007,36.448,NA,3seb,3
284.033,27.596,NA,3seb,3
284.934,25.834,NA,3seb,3
286.053,24.148,NA,3seb,3
286.513,22.848,NA,3seb,3
287.092,20.339,NA,3seb,3
287.54,19.141,NA,3seb,3
288.259,18.335,NA,3seb,3
289.689,17.51,NA,3seb,3
292.067,15.941,NA,3seb,3
295.373,14.264,NA,3seb,3
