x,y,H,map,gp
830000.0,843127.4,NA,2ned,0
829995.9,843125.1,NA,2ned,0
829991.5,843124.2,NA,2ned,0
829987.1,843123.8,NA,2ned,0
829981.1,843124.1,NA,2ned,0
829974.8,843124.8,NA,2ned,0
829965.6,843124.7,NA,2ned,0
829961.8,843124.2,NA,2ned,0
829956.1,843123.0,NA,2ned,0
829953.8,843122.0,NA,2ned,0
829951.5,843120.4,NA,2ned,0
829949.8,843118.4,NA,2ned,0
829947.3,843114.0,NA,2ned,0
829945.7,843109.7,NA,2ned,0
829943.5,843102.7,NA,2ned,0
829941.1,843093.1,NA,2ned,0
829937.1,843081.5,NA,2ned,0
829936.6,843079.3,NA,2ned,0
829934.9,843063.1,NA,2ned,0
829935.0,843058.6,NA,2ned,0
829936.0,843054.5,NA,2ned,0
829937.4,843052.3,NA,2ned,0
829940.7,843049.2,NA,2ned,0
829943.0,843048.0,NA,2ned,0
829945.4,843047.6,NA,2ned,0
829950.6,843047.6,NA,2ned,0
829953.7,843048.1,NA,2ned,0
829957.7,843049.2,NA,2ned,0
829961.2,843050.9,NA,2ned,0
829966.9,843053.9,NA,2ned,0
829972.8,843057.3,NA,2ned,0
829981.6,843062.8,NA,2ned,0
829987.3,843066.7,NA,2ned,0
829988.5,843067.2,NA,2ned,0
829990.1,843067.6,NA,2ned,0
829995.9,843067.4,NA,2ned,0
830000.0,843065.8,NA,2ned,0
827524.4,842166.8,NA,2ned,1
827526.1,842167.3,NA,2ned,1
827527.3,842168.1,NA,2ned,1
827528.4,842169.2,NA,2ned,1
827529.1,842170.6,NA,2ned,1
827529.5,842172.0,NA,2ned,1
827529.3,842173.9,NA,2ned,1
827528.3,842178.0,NA,2ned,1
827526.5,842181.4,NA,2ned,1
827524.3,842184.7,NA,2ned,1
827523.6,842186.4,NA,2ned,1
827523.1,842188.3,NA,2ned,1
827522.4,842193.8,NA,2ned,1
827522.3,842200.2,NA,2ned,1
827520.7,842216.9,NA,2ned,1
827519.7,842222.8,NA,2ned,1
827516.8,842235.3,NA,2ned,1
827515.6,842237.8,NA,2ned,1
827515.1,842238.4,NA,2ned,1
827514.2,842239.2,NA,2ned,1
827513.3,842239.5,NA,2ned,1
827511.6,842239.4,NA,2ned,1
827510.4,842239.0,NA,2ned,1
