x,y,H,map,gp
362.915,747.294,250,3seb,X
3.291,746.22,100,3seb,X
671.742,744.325,200,3seb,X
281.393,736.411,250,3seb,X
244.744,730.776,200,3seb,X
498.122,730.601,250,3seb,X
798.118,719.335,150,3seb,X
225.641,715.392,150,3seb,X
919.494,714.23,150,3seb,X
537.217,704.949,300,3seb,X
677.538,694.701,250,3seb,X
797.778,693.839,200,3seb,X
381.086,674.245,250,3seb,X
38.298,673.502,100,3seb,X
451.25,670.461,250,3seb,X
918.807,668.5,200,3seb,X
533.457,667.248,250,3seb,X
798.254,666.809,250,3seb,X
666.629,659.532,300,3seb,X
96.576,654.677,100,3seb,X
922.285,647.638,250,3seb,X
807.11,636.952,300,3seb,X
362.045,632.219,200,3seb,X
673.069,631.9,350,3seb,X
807.343,622.542,350,3seb,X
349.084,619.666,150,3seb,X
668.15,617.406,300,3seb,X
451.174,612.779,250,3seb,X
120.508,605.835,150,3seb,X
515.015,604.994,200,3seb,X
918.557,600.994,300,3seb,X
660.772,597.692,250,3seb,X
508.557,587.821,150,3seb,X
173.157,576.129,100,3seb,X
323.155,574.962,100,3seb,X
856.476,572.612,400,3seb,X
657.4,567.313,200,3seb,X
53.916,553.583,150,3seb,X
287.723,551.427,100,3seb,X
869.56,541.547,350,3seb,X
834.384,538.767,300,3seb,X
637.682,527.811,150,3seb,X
815.767,525.015,250,3seb,X
105.656,520.52,100,3seb,X
795.257,509.318,200,3seb,X
412.794,499.79,100,3seb,X
357.547,492.459,100,3seb,X
267.248,478.901,100,3seb,X
174.626,477.95,100,3seb,X
5.774,469.837,200,3seb,X
777.73,465.925,150,3seb,X
389.936,465.531,100,3seb,X
147.317,454.353,100,3seb,X
903.894,452.848,150,3seb,X
43.215,434.018,150,3seb,X
284.353,415.279,100,3seb,X
208.591,411.728,100,3seb,X
133.819,404.696,150,3seb,X
13.337,398.51,200,3seb,X
925.375,393.445,100,3seb,X
327.3,386.368,100,3seb,X
89.112,380.486,200,3seb,X
574.941,379.851,100,3seb,X
256.657,364.394,100,3seb,X
887.445,363.453,100,3seb,X
203.588,358.934,150,3seb,X
81.983,357.575,200,3seb,X
5.36,356.391,250,3seb,X
787.766,350.324,100,3seb,X
335.749,349.377,50,3seb,X
767.988,333.461,150,3seb,X
556.042,326.791,100,3seb,X
13.557,322.926,250,3seb,X
534.263,308.151,150,3seb,X
321.458,301.608,100,3seb,X
159.616,297.86,200,3seb,X
283.334,288.883,150,3seb,X
467.865,288.424,200,3seb,X
364.913,284.97,50,3seb,X
451.213,281.468,150,3seb,X
430.097,275.941,100,3seb,X
406.017,270.26,50,3seb,X
836.732,260.02,100,3seb,X
266.223,254.555,200,3seb,X
690.367,253.067,150,3seb,X
831.543,237.42,150,3seb,X
88.877,225.239,250,3seb,X
614.401,223.25,150,3seb,X
384.032,219.828,50,3seb,X
699.911,215.631,200,3seb,X
597.098,209.023,200,3seb,X
368.054,203.006,100,3seb,X
842.801,198.284,200,3seb,X
28.67,196.968,250,3seb,X
352.429,191.297,150,3seb,X
227.881,174.663,200,3seb,X
570.931,160.032,250,3seb,X
544.803,158.072,200,3seb,X
527.362,145.169,150,3seb,X
44.767,133.708,250,3seb,X
239.291,130.177,200,3seb,X
496.288,123.335,100,3seb,X
868.095,118.722,250,3seb,X
228.717,115.837,250,3seb,X
476.285,112.284,50,3seb,X
33.228,110.33,300,3seb,X
382.395,94.675,50,3seb,X
345.969,78.656,100,3seb,X
864.415,71.842,300,3seb,X
25.983,70.179,350,3seb,X
325.919,66.208,150,3seb,X
704.474,64.653,250,3seb,X
221.162,60.513,300,3seb,X
861.507,58.957,250,3seb,X
305.837,54.636,200,3seb,X
701.335,52.776,200,3seb,X
294.522,37.991,250,3seb,X
700.125,35.154,150,3seb,X
872.801,33.459,200,3seb,X
286.816,24.43,300,3seb,X
13.053,21.217,400,3seb,X
874.657,13.351,150,3seb,X
693.894,9.322,100,3seb,X
215.492,2.748,350,3seb,X
128.747,733.064,B,3seb,X
130.685,731.263,R,3seb,X
132.628,729.467,I,3seb,X
134.633,727.741,D,3seb,X
136.831,726.273,E,3seb,X
140.619,722.625,S,3seb,X
143.35,718.117,P,3seb,X
144.059,715.574,O,3seb,X
144.65,712.995,O,3seb,X
145.253,710.419,L,3seb,X
146.952,705.424,R,3seb,X
148.118,703.049,O,3seb,X
149.283,700.674,A,3seb,X
150.449,698.298,D,3seb,X
363.762,498.99,W,3seb,X
365.35,497.46,U,3seb,X
368.633,494.518,K,3seb,X
370.369,493.159,A,3seb,X
372.174,491.894,U,3seb,X
376.038,489.787,T,3seb,X
378.102,489.013,A,3seb,X
380.196,488.323,N,3seb,X
382.309,487.691,G,3seb,X
386.571,486.563,R,3seb,X
388.724,486.086,O,3seb,X
390.83,485.449,A,3seb,X
392.798,484.459,D,3seb,X
429.929,452.863,C,3seb,X
431.781,454.058,H,3seb,X
433.644,455.239,I,3seb,X
437.544,457.292,S,3seb,X
439.433,458.421,U,3seb,X
441.052,459.913,M,3seb,X
444.921,461.925,R,3seb,X
446.96,462.744,O,3seb,X
448.878,463.83,A,3seb,X
450.69,465.063,D,3seb,X
387.849,233.366,B,3seb,X
388.668,230.852,R,3seb,X
389.243,228.269,I,3seb,X
389.857,225.696,D,3seb,X
