x,y,H,map,gp,t
197.225,13.15,,14nwa,9,NCL
198.65,12.7,,14nwa,9,NCL
201.425,11.5,,14nwa,9,NCL
202.8,10.875,,14nwa,9,NCL
204.125,10.15,,14nwa,9,NCL
204.975,9.6,,14nwa,9,NCL
205.75,9.0,,14nwa,9,NCL
206.1,8.65,,14nwa,9,NCL
206.425,8.275,,14nwa,9,NCL
207.025,7.4,,14nwa,9,NCL
208.35,5.0,,14nwa,9,NCL
208.925,4.175,,14nwa,9,NCL
209.225,3.8,,14nwa,9,NCL
209.575,3.5,,14nwa,9,NCL
209.925,3.25,,14nwa,9,NCL
210.3,3.05,,14nwa,9,NCL
210.725,2.95,,14nwa,9,NCL
211.175,2.9,,14nwa,9,NCL
212.1,2.95,,14nwa,9,NCL
213.075,3.175,,14nwa,9,NCL
215.675,3.975,,14nwa,9,NCL
216.7,4.25,,14nwa,9,NCL
217.725,4.4,,14nwa,9,NCL
218.225,4.4,,14nwa,9,NCL
218.7,4.35,,14nwa,9,NCL
219.65,4.15,,14nwa,9,NCL
221.05,3.675,,14nwa,9,NCL
222.425,3.05,,14nwa,9,NCL
226.075,1.225,,14nwa,9,NCL
227.025,0.85,,14nwa,9,NCL
227.95,0.525,,14nwa,9,NCL
228.425,0.4,,14nwa,9,NCL
229.4,0.3,,14nwa,9,NCL
230.4,0.35,,14nwa,9,NCL
232.45,0.575,,14nwa,9,NCL
233.45,0.6,,14nwa,9,NCL
233.925,0.55,,14nwa,9,NCL
234.4,0.375,,14nwa,9,NCL
235.1,0.0,,14nwa,9,NCL
0.0,13.873,,14nwa,10,NCL
3.616,10.409,,14nwa,10,NCL
5.699,8.841000000000001,,14nwa,10,NCL
6.619,8.437999999999999,,14nwa,10,NCL
8.024,8.505,,14nwa,10,NCL
10.412,9.09,,14nwa,10,NCL
13.772,10.32,,14nwa,10,NCL
17.441,12.003,,14nwa,10,NCL
20.434,13.828,,14nwa,10,NCL
21.401999999999997,14.081,,14nwa,10,NCL
22.449,14.057,,14nwa,10,NCL
23.811,13.477,,14nwa,10,NCL
26.359,11.933,,14nwa,10,NCL
31.677,8.117,,14nwa,10,NCL
34.731,5.521,,14nwa,10,NCL
36.751,3.293,,14nwa,10,NCL
38.134,1.161,,14nwa,10,NCL
38.845,0.594,,14nwa,10,NCL
39.821999999999996,0.991,,14nwa,10,NCL
41.513000000000005,2.8939999999999997,,14nwa,10,NCL
42.95399999999999,4.268,,14nwa,10,NCL
44.273,4.913,,14nwa,10,NCL
46.702,5.712999999999999,,14nwa,10,NCL
48.713,6.067,,14nwa,10,NCL
51.167,6.037999999999999,,14nwa,10,NCL
52.667,5.686,,14nwa,10,NCL
55.419,4.375,,14nwa,10,NCL
56.803000000000004,3.022,,14nwa,10,NCL
58.81399999999999,0.0,,14nwa,10,NCL
729.475,0.0,220.0,14nwa,11,NCL
729.95,1.95,220.0,14nwa,11,NCL
730.125,2.425,220.0,14nwa,11,NCL
730.325,2.875,220.0,14nwa,11,NCL
730.625,3.3,220.0,14nwa,11,NCL
730.95,3.7,220.0,14nwa,11,NCL
732.475,5.225,220.0,14nwa,11,NCL
733.15,6.0,220.0,14nwa,11,NCL
733.425,6.4,220.0,14nwa,11,NCL
733.625,6.825,220.0,14nwa,11,NCL
733.725,7.25,220.0,14nwa,11,NCL
733.725,7.7,220.0,14nwa,11,NCL
733.675,8.625,220.0,14nwa,11,NCL
733.525,9.575,220.0,14nwa,11,NCL
733.275,10.525,220.0,14nwa,11,NCL
732.775,11.975,220.0,14nwa,11,NCL
731.475,15.4,220.0,14nwa,11,NCL
731.075,16.7,220.0,14nwa,11,NCL
481.212,0.0,40.0,14nwa,12,NCL
483.95599999999996,9.1,40.0,14nwa,12,NCL
484.4,9.984,40.0,14nwa,12,NCL
485.41,11.130999999999998,40.0,14nwa,12,NCL
486.621,12.017000000000001,40.0,14nwa,12,NCL
488.506,12.854000000000001,40.0,14nwa,12,NCL
489.227,13.479000000000001,40.0,14nwa,12,NCL
489.955,14.761,40.0,14nwa,12,NCL
491.542,18.495,40.0,14nwa,12,NCL
492.244,19.137999999999998,40.0,14nwa,12,NCL
493.75800000000004,19.527,40.0,14nwa,12,NCL
494.786,19.482,40.0,14nwa,12,NCL
496.116,18.719,40.0,14nwa,12,NCL
496.874,17.996,40.0,14nwa,12,NCL
497.212,17.135,40.0,14nwa,12,NCL
497.13800000000003,15.662,40.0,14nwa,12,NCL
496.847,13.603,40.0,14nwa,12,NCL
496.94300000000004,12.612,40.0,14nwa,12,NCL
497.316,11.630999999999998,40.0,14nwa,12,NCL
497.98699999999997,10.913,40.0,14nwa,12,NCL
499.769,9.908999999999999,40.0,14nwa,12,NCL
503.006,8.334,40.0,14nwa,12,NCL
503.944,7.45,40.0,14nwa,12,NCL
503.61300000000006,6.412000000000001,40.0,14nwa,12,NCL
502.684,5.146,40.0,14nwa,12,NCL
497.969,0.0,40.0,14nwa,12,NCL
65.8,0.0,,14nwa,13,NCL
63.375,1.735,,14nwa,13,NCL
59.85,5.989,,14nwa,13,NCL
58.483999999999995,7.425,,14nwa,13,NCL
57.278,8.312999999999999,,14nwa,13,NCL
55.423,9.137,,14nwa,13,NCL
52.983000000000004,9.652999999999999,,14nwa,13,NCL
50.466,9.687999999999999,,14nwa,13,NCL
47.961000000000006,9.299,,14nwa,13,NCL
41.433,7.867999999999999,,14nwa,13,NCL
39.505,7.724,,14nwa,13,NCL
37.661,7.928999999999999,,14nwa,13,NCL
36.813,8.308,,14nwa,13,NCL
35.249,9.552999999999999,,14nwa,13,NCL
32.571,12.110999999999999,,14nwa,13,NCL
31.287,12.883,,14nwa,13,NCL
28.083000000000002,14.315,,14nwa,13,NCL
27.34,14.966,,14nwa,13,NCL
26.021,16.483,,14nwa,13,NCL
24.651999999999997,17.116,,14nwa,13,NCL
22.165,17.38,,14nwa,13,NCL
19.139,17.163,,14nwa,13,NCL
17.691,16.848,,14nwa,13,NCL
16.809,16.402,,14nwa,13,NCL
15.11,15.282,,14nwa,13,NCL
11.705,14.103,,14nwa,13,NCL
8.726,13.437999999999999,,14nwa,13,NCL
7.319,13.45,,14nwa,13,NCL
6.437,13.697000000000001,,14nwa,13,NCL
5.193,14.502,,14nwa,13,NCL
2.206,17.407,,14nwa,13,NCL
0.0,20.136,,14nwa,13,NCL
299.75,0.0,,14nwa,14,NCL
299.825,8.525,,14nwa,14,NCL
299.975,11.025,,14nwa,14,NCL
300.15,12.5,,14nwa,14,NCL
300.25,12.975,,14nwa,14,NCL
300.4,13.45,,14nwa,14,NCL
300.775,14.4,,14nwa,14,NCL
301.25,15.3,,14nwa,14,NCL
301.775,16.15,,14nwa,14,NCL
302.425,16.925,,14nwa,14,NCL
304.3,18.675,,14nwa,14,NCL
304.625,19.05,,14nwa,14,NCL
304.875,19.45,,14nwa,14,NCL
305.075,19.875,,14nwa,14,NCL
305.2,20.325,,14nwa,14,NCL
305.275,21.325,,14nwa,14,NCL
305.15,24.025,,14nwa,14,NCL
149.667,25.929000000000002,,14nwa,15,NCL
151.22799999999998,23.24,,14nwa,15,NCL
152.357,21.589000000000002,,14nwa,15,NCL
153.423,20.701,,14nwa,15,NCL
154.36700000000002,20.483,,14nwa,15,NCL
157.007,20.377,,14nwa,15,NCL
157.868,19.997,,14nwa,15,NCL
158.559,19.259,,14nwa,15,NCL
159.312,17.89,,14nwa,15,NCL
159.376,16.315,,14nwa,15,NCL
159.724,15.55,,14nwa,15,NCL
160.796,15.380999999999998,,14nwa,15,NCL
161.756,15.597000000000001,,14nwa,15,NCL
163.72899999999998,16.314,,14nwa,15,NCL
165.68200000000002,15.165999999999999,,14nwa,15,NCL
166.575,14.849,,14nwa,15,NCL
167.331,15.136,,14nwa,15,NCL
167.989,15.798,,14nwa,15,NCL
169.486,18.089000000000002,,14nwa,15,NCL
170.467,19.304000000000002,,14nwa,15,NCL
171.232,19.799,,14nwa,15,NCL
172.13299999999998,20.032,,14nwa,15,NCL
173.669,20.039,,14nwa,15,NCL
175.26,19.722,,14nwa,15,NCL
177.597,18.74,,14nwa,15,NCL
181.00900000000001,16.684,,14nwa,15,NCL
186.855,12.702,,14nwa,15,NCL
190.33900000000003,10.780999999999999,,14nwa,15,NCL
192.75099999999998,10.088,,14nwa,15,NCL
196.38299999999998,9.68,,14nwa,15,NCL
198.826,9.186,,14nwa,15,NCL
200.113,8.597000000000001,,14nwa,15,NCL
201.234,7.734,,14nwa,15,NCL
202.543,6.295,,14nwa,15,NCL
205.638,1.551,,14nwa,15,NCL
206.71400000000003,0.0,,14nwa,15,NCL
222.575,28.925,,14nwa,16,NCL
222.35,27.9,,14nwa,16,NCL
222.475,27.45,,14nwa,16,NCL
223.025,26.675,,14nwa,16,NCL
224.4,25.15,,14nwa,16,NCL
225.9,24.0,,14nwa,16,NCL
226.125,23.6,,14nwa,16,NCL
226.15,23.15,,14nwa,16,NCL
225.975,22.2,,14nwa,16,NCL
225.025,19.25,,14nwa,16,NCL
224.8,18.275,,14nwa,16,NCL
224.775,17.775,,14nwa,16,NCL
224.85,17.325,,14nwa,16,NCL
225.05,16.85,,14nwa,16,NCL
225.55,15.925,,14nwa,16,NCL
225.7,15.45,,14nwa,16,NCL
225.725,14.975,,14nwa,16,NCL
225.375,14.05,,14nwa,16,NCL
743.65,29.025,,14nwa,17,NCL
743.8,28.2,,14nwa,17,NCL
744.05,27.125,,14nwa,17,NCL
744.125,26.625,,14nwa,17,NCL
744.1,26.125,,14nwa,17,NCL
743.975,25.7,,14nwa,17,NCL
743.7,25.3,,14nwa,17,NCL
742.525,23.8,,14nwa,17,NCL
741.175,22.35,,14nwa,17,NCL
739.7,20.95,,14nwa,17,NCL
737.075,18.5,,14nwa,17,NCL
735.625,17.1,,14nwa,17,NCL
735.525,16.975,,14nwa,17,NCL
735.475,16.825,,14nwa,17,NCL
735.375,14.65,,14nwa,17,NCL
735.425,13.675,,14nwa,17,NCL
735.5,13.175,,14nwa,17,NCL
735.9,11.2,,14nwa,17,NCL
736.825,7.725,,14nwa,17,NCL
737.175,6.25,,14nwa,17,NCL
737.4,4.8,,14nwa,17,NCL
737.475,3.375,,14nwa,17,NCL
737.4,2.925,,14nwa,17,NCL
737.2,2.475,,14nwa,17,NCL
736.95,2.05,,14nwa,17,NCL
735.6,0.425,,14nwa,17,NCL
735.3,0.0,,14nwa,17,NCL
105.875,0.0,,14nwa,18,NCL
103.925,3.075,,14nwa,18,NCL
103.1,4.325,,14nwa,18,NCL
102.2,5.5,,14nwa,18,NCL
101.525,6.25,,14nwa,18,NCL
100.1,7.65,,14nwa,18,NCL
98.55,8.925,,14nwa,18,NCL
96.15,10.75,,14nwa,18,NCL
94.475,11.9,,14nwa,18,NCL
93.625,12.425,,14nwa,18,NCL
92.75,12.9,,14nwa,18,NCL
91.4,13.475,,14nwa,18,NCL
90.425,13.7,,14nwa,18,NCL
88.4,13.825,,14nwa,18,NCL
87.4,13.95,,14nwa,18,NCL
86.925,14.05,,14nwa,18,NCL
86.45,14.225,,14nwa,18,NCL
86.0,14.45,,14nwa,18,NCL
85.6,14.725,,14nwa,18,NCL
84.35,15.625,,14nwa,18,NCL
83.9,15.875,,14nwa,18,NCL
83.45,16.025,,14nwa,18,NCL
82.925,16.05,,14nwa,18,NCL
81.225,15.825,,14nwa,18,NCL
80.775,15.875,,14nwa,18,NCL
80.45,16.125,,14nwa,18,NCL
79.975,16.9,,14nwa,18,NCL
79.375,18.2,,14nwa,18,NCL
78.875,19.6,,14nwa,18,NCL
77.625,23.6,,14nwa,18,NCL
77.25,24.55,,14nwa,18,NCL
76.825,25.45,,14nwa,18,NCL
76.075,26.825,,14nwa,18,NCL
75.45,27.7,,14nwa,18,NCL
74.75,28.475,,14nwa,18,NCL
74.35,28.775,,14nwa,18,NCL
73.95,29.0,,14nwa,18,NCL
73.5,29.15,,14nwa,18,NCL
73.05,29.25,,14nwa,18,NCL
71.625,29.4,,14nwa,18,NCL
70.125,29.375,,14nwa,18,NCL
66.0,29.1,,14nwa,18,NCL
64.475,29.125,,14nwa,18,NCL
63.5,29.225,,14nwa,18,NCL
62.525,29.45,,14nwa,18,NCL
61.1,29.9,,14nwa,18,NCL
410.55,26.025,170.0,14nwa,19,NCL
409.775,24.65,170.0,14nwa,19,NCL
409.425,24.325,170.0,14nwa,19,NCL
409.0,24.2,170.0,14nwa,19,NCL
408.5,24.15,170.0,14nwa,19,NCL
407.975,24.175,170.0,14nwa,19,NCL
407.45,24.275,170.0,14nwa,19,NCL
406.95,24.4,170.0,14nwa,19,NCL
406.025,24.8,170.0,14nwa,19,NCL
405.575,25.05,170.0,14nwa,19,NCL
404.75,25.675,170.0,14nwa,19,NCL
404.4,26.0,170.0,14nwa,19,NCL
404.125,26.4,170.0,14nwa,19,NCL
403.9,26.9,170.0,14nwa,19,NCL
403.75,27.425,170.0,14nwa,19,NCL
403.7,27.925,170.0,14nwa,19,NCL
403.8,28.375,170.0,14nwa,19,NCL
404.075,28.775,170.0,14nwa,19,NCL
404.475,29.15,170.0,14nwa,19,NCL
404.925,29.45,170.0,14nwa,19,NCL
405.4,29.65,170.0,14nwa,19,NCL
406.375,29.9,170.0,14nwa,19,NCL
407.4,30.05,170.0,14nwa,19,NCL
408.425,30.05,170.0,14nwa,19,NCL
408.875,29.975,170.0,14nwa,19,NCL
409.325,29.8,170.0,14nwa,19,NCL
409.75,29.475,170.0,14nwa,19,NCL
410.1,29.05,170.0,14nwa,19,NCL
410.375,28.625,170.0,14nwa,19,NCL
410.55,28.175,170.0,14nwa,19,NCL
410.6,27.7,170.0,14nwa,19,NCL
410.55,26.025,170.0,14nwa,19,NCL
700.7,27.6,140.0,14nwa,20,NCL
704.25,30.55,140.0,14nwa,20,NCL
704.525,30.65,140.0,14nwa,20,NCL
706.325,30.625,20.0,14nwa,21,NCL
707.425,31.475,20.0,14nwa,21,NCL
707.85,31.75,20.0,14nwa,21,NCL
708.275,31.925,20.0,14nwa,21,NCL
708.725,31.95,20.0,14nwa,21,NCL
709.15,31.85,20.0,14nwa,21,NCL
709.6,31.7,20.0,14nwa,21,NCL
710.5,31.25,20.0,14nwa,21,NCL
711.4,30.7,20.0,14nwa,21,NCL
713.575,29.225,20.0,14nwa,21,NCL
713.975,28.875,20.0,14nwa,21,NCL
