x,y,H,map,gp
748.044,17.689,HWM,14nwa,X
594.822,146.724,H,14nwa,X
595.671,149.23,W,14nwa,X
596.548,151.725,M,14nwa,X
768.766,199.688,Pier,14nwa,X
744.089,216.849,H,14nwa,X
745.265,219.219,W,14nwa,X
746.695,221.444,M,14nwa,X
216.248,222.792,HWM,14nwa,X
854.814,343.99,H,14nwa,X
856.789,345.75,W,14nwa,X
858.763,347.511,M,14nwa,X
339.415,644.13,H,14nwa,X
340.924,646.303,W,14nwa,X
342.367,648.52,M,14nwa,X
332.958,669.903,Pier,14nwa,X
194.277,5.493,50,14nwa,X
43.963,13.57,150,14nwa,X
511.255,13.876,200,14nwa,X
450.153,25.434,200,14nwa,X
534.275,27.164,150,14nwa,X
325.688,35.988,50,14nwa,X
49.551,37.989,100,14nwa,X
345.577,48.387,100,14nwa,X
59.188,66.686,50,14nwa,X
556.337,73.556,100,14nwa,X
365.43,82.791,150,14nwa,X
578.878,90.622,50,14nwa,X
385.671,143.384,150,14nwa,X
34.715,156.265,50,14nwa,X
381.221,172.557,100,14nwa,X
376.821,238.556,50,14nwa,X
595.927,247.072,50,14nwa,X
416.76,252.574,50,14nwa,X
582.499,281.221,100,14nwa,X
764.921,291.578,50,14nwa,X
590.368,301.619,150,14nwa,X
737.94,301.634,100,14nwa,X
453.293,309.602,100,14nwa,X
317.22,321.123,50,14nwa,X
440.61,329.772,150,14nwa,X
798.668,329.996,50,14nwa,X
332.71,353.027,100,14nwa,X
639.051,366.843,150,14nwa,X
344.473,371.154,150,14nwa,X
653.03,380.933,100,14nwa,X
352.307,394.458,200,14nwa,X
784.333,398.914,100,14nwa,X
355.654,417.997,250,14nwa,X
446.853,418.072,200,14nwa,X
865.217,421.507,50,14nwa,X
451.177,440.429,250,14nwa,X
868.438,445.98,100,14nwa,X
774.41,452.42,100,14nwa,X
562.322,458.237,150,14nwa,X
520.057,479.039,200,14nwa,X
866.095,482.058,150,14nwa,X
500.722,492.607,250,14nwa,X
672.565,498.205,100,14nwa,X
355.098,498.849,250,14nwa,X
679.649,519.458,150,14nwa,X
329.801,524.352,150,14nwa,X
317.315,538.993,100,14nwa,X
695.98,549.697,150,14nwa,X
901.588,561.749,200,14nwa,X
297.995,561.963,50,14nwa,X
799.525,563.803,100,14nwa,X
712.288,567.373,100,14nwa,X
834.948,574.414,150,14nwa,X
540.451,589.871,250,14nwa,X
549.804,608.229,200,14nwa,X
573.34,646.2,150,14nwa,X
593.136,670.219,100,14nwa,X
846.325,674.12,150,14nwa,X
777.742,676.295,50,14nwa,X
369.543,679.79,50,14nwa,X
393.829,694.692,100,14nwa,X
890.368,696.728,150,14nwa,X
613.745,701.776,50,14nwa,X
416.584,703.923,150,14nwa,X
448.262,706.055,200,14nwa,X
883.035,725.819,100,14nwa,X
481.376,745.365,150,14nwa,X
903.781,746.61,50,14nwa,X
228.972,47.583,S,14nwa,X
229.955,45.127,O,14nwa,X
230.929,42.667,U,14nwa,X
231.881,40.198,T,14nwa,X
232.823,37.726,H,14nwa,X
234.681,32.771,L,14nwa,X
235.586,30.285,A,14nwa,X
236.509,27.805,N,14nwa,X
237.455,25.334,T,14nwa,X
238.415,22.869,A,14nwa,X
239.396,20.412,U,14nwa,X
241.476,15.546,R,14nwa,X
242.629,13.165,O,14nwa,X
243.797,10.791,A,14nwa,X
244.965,8.417,D,14nwa,X
535.275,220.683,C,14nwa,X
537.347,219.948,H,14nwa,X
539.512,219.532,I,14nwa,X
543.865,219.332,M,14nwa,X
546.062,219.51,A,14nwa,X
550.471,219.558,W,14nwa,X
552.676,219.551,A,14nwa,X
554.88,219.513,N,14nwa,X
559.075,220.385,R,14nwa,X
560.922,221.589,O,14nwa,X
562.766,222.798,A,14nwa,X
564.61,224.008,D,14nwa,X
304.908,249.678,C,14nwa,X
305.961,247.748,H,14nwa,X
307.268,245.972,I,14nwa,X
309.991,242.503,M,14nwa,X
311.458,240.86,A,14nwa,X
314.906,238.121,W,14nwa,X
316.538,236.639,A,14nwa,X
318.181,235.17,N,14nwa,X
321.765,232.608,R,14nwa,X
323.625,231.425,O,14nwa,X
325.103,229.824,A,14nwa,X
326.223,227.925,D,14nwa,X
405.265,148.647,L,14nwa,X
407.456,148.401,A,14nwa,X
409.642,148.114,N,14nwa,X
411.825,147.805,T,14nwa,X
414.015,147.552,A,14nwa,X
416.209,147.33,U,14nwa,X
420.607,147.02,T,14nwa,X
422.806,146.85,R,14nwa,X
425.004,146.679,A,14nwa,X
427.202,146.508,I,14nwa,X
429.4,146.338,L,14nwa,X
