x,y,H,map,gp
362.1,680.475,NA,3seb,0
363.0,680.1,NA,3seb,0
363.925,679.45,NA,3seb,0
364.15,678.5,NA,3seb,0
364.2,676.7,NA,3seb,0
365.475,675.175,NA,3seb,0
367.1,674.2,NA,3seb,0
367.45,673.675,NA,3seb,0
368.3,671.55,NA,3seb,0
369.075,670.05,NA,3seb,0
369.825,668.25,NA,3seb,0
370.275,667.85,NA,3seb,0
371.2,667.375,NA,3seb,0
372.475,667.025,NA,3seb,0
297.35,211.525,NA,3seb,1
297.375,213.0,NA,3seb,1
297.05,216.025,NA,3seb,1
297.2,216.5,NA,3seb,1
537.675,179.15,NA,3seb,2
538.075,177.8,NA,3seb,2
538.625,176.675,NA,3seb,2
539.7,175.675,NA,3seb,2
540.9,174.05,NA,3seb,2
541.275,173.3,NA,3seb,2
541.6,171.625,NA,3seb,2
543.275,169.275,NA,3seb,2
