x,y,H,map,gp
45.075,0.0,NA,14nwa,0
46.125,1.1,NA,14nwa,0
46.875,1.75,NA,14nwa,0
47.3,2.0,NA,14nwa,0
48.275,2.425,NA,14nwa,0
48.775,2.6,NA,14nwa,0
49.275,2.675,NA,14nwa,0
49.75,2.65,NA,14nwa,0
50.2,2.525,NA,14nwa,0
50.6,2.3,NA,14nwa,0
51.375,1.7,NA,14nwa,0
53.175,0.0,NA,14nwa,0
457.45,0.0,NA,14nwa,1
457.4,1.55,NA,14nwa,1
457.3,2.025,NA,14nwa,1
457.075,2.45,NA,14nwa,1
456.675,2.85,NA,14nwa,1
456.2,3.15,NA,14nwa,1
455.725,3.2,NA,14nwa,1
454.825,2.925,NA,14nwa,1
453.475,2.35,NA,14nwa,1
448.95,0.0,NA,14nwa,1
134.225,0.0,NA,14nwa,2
136.075,2.475,NA,14nwa,2
136.7,3.25,NA,14nwa,2
137.35,3.95,NA,14nwa,2
137.75,4.125,NA,14nwa,2
138.25,3.825,NA,14nwa,2
138.475,3.4,NA,14nwa,2
138.65,2.875,NA,14nwa,2
138.675,2.375,NA,14nwa,2
138.525,1.95,NA,14nwa,2
138.25,1.525,NA,14nwa,2
136.875,0.0,NA,14nwa,2
167.775,0.0,NA,14nwa,3
168.275,1.45,NA,14nwa,3
168.45,1.925,NA,14nwa,3
168.725,2.325,NA,14nwa,3
170.15,3.9,NA,14nwa,3
170.95,4.675,NA,14nwa,3
171.775,5.35,NA,14nwa,3
172.2,5.6,NA,14nwa,3
172.6,5.8,NA,14nwa,3
173.025,5.925,NA,14nwa,3
173.425,5.95,NA,14nwa,3
173.825,5.9,NA,14nwa,3
174.225,5.725,NA,14nwa,3
174.65,5.5,NA,14nwa,3
175.075,5.2,NA,14nwa,3
175.9,4.475,NA,14nwa,3
177.8,2.575,NA,14nwa,3
178.125,2.2,NA,14nwa,3
179.575,0.0,NA,14nwa,3
20.325,0.0,NA,14nwa,4
19.0,0.8,NA,14nwa,4
18.65,1.125,NA,14nwa,4
18.375,1.55,NA,14nwa,4
18.225,2.1,NA,14nwa,4
18.275,2.625,NA,14nwa,4
18.6,2.95,NA,14nwa,4
19.75,3.9,NA,14nwa,4
21.025,4.85,NA,14nwa,4
21.9,5.425,NA,14nwa,4
22.8,5.975,NA,14nwa,4
23.675,6.425,NA,14nwa,4
24.55,6.8,NA,14nwa,4
24.95,6.925,NA,14nwa,4
25.325,6.725,NA,14nwa,4
26.025,5.8,NA,14nwa,4
26.425,5.475,NA,14nwa,4
26.9,5.375,NA,14nwa,4
27.975,5.475,NA,14nwa,4
28.45,5.4,NA,14nwa,4
28.85,5.15,NA,14nwa,4
29.575,4.425,NA,14nwa,4
30.225,3.575,NA,14nwa,4
31.025,2.3,NA,14nwa,4
31.1,1.925,NA,14nwa,4
30.55,1.625,NA,14nwa,4
30.1,1.825,NA,14nwa,4
29.7,2.175,NA,14nwa,4
28.475,3.45,NA,14nwa,4
28.1,3.75,NA,14nwa,4
27.725,3.9,NA,14nwa,4
27.375,3.825,NA,14nwa,4
27.05,3.65,NA,14nwa,4
26.725,3.35,NA,14nwa,4
26.4,3.0,NA,14nwa,4
25.775,2.1,NA,14nwa,4
24.875,0.675,NA,14nwa,4
24.4,0.0,NA,14nwa,4
0.0,7.4,NA,14nwa,5
1.75,6.35,NA,14nwa,5
2.15,6.05,NA,14nwa,5
2.5,5.725,NA,14nwa,5
2.75,5.3,NA,14nwa,5
2.95,4.175,NA,14nwa,5
3.125,3.7,NA,14nwa,5
3.475,3.45,NA,14nwa,5
4.85,3.15,NA,14nwa,5
6.3,2.95,NA,14nwa,5
7.8,2.8,NA,14nwa,5
12.425,2.5,NA,14nwa,5
13.925,2.325,NA,14nwa,5
15.4,2.05,NA,14nwa,5
15.85,1.925,NA,14nwa,5
16.3,1.7,NA,14nwa,5
16.725,1.45,NA,14nwa,5
18.625,0.0,NA,14nwa,5
